,Palabra,Frecuencia,ID_Articulo
556,"asigna, ecopetrol, nota",1,1
557,"ecopetrol, nota, grado",1,1
558,"nota, grado, inversión",1,1
559,"grado, inversión, califica",1,1
560,"inversión, califica, grado",1,1
561,"califica, grado, plazo",1,1
562,"grado, plazo, empresa",1,1
563,"plazo, empresa, considerar",1,1
564,"empresa, considerar, obtención",1,1
565,"considerar, obtención, tipos",1,1
566,"obtención, tipos, llamada",1,1
567,"tipos, llamada, financiación",1,1
568,"llamada, financiación, proyectos",1,1
569,"financiación, proyectos, relacionados",1,1
570,"proyectos, relacionados, tecnologías",1,1
571,"relacionados, tecnologías, emergentes",1,1
572,"tecnologías, emergentes, producción",1,1
573,"emergentes, producción, hidrógeno",1,1
574,"producción, hidrógeno, secuestro",1,1
575,"hidrógeno, secuestro, carbono",1,1
576,"secuestro, carbono, actualmente",1,1
577,"carbono, actualmente, centrada",1,1
578,"actualmente, centrada, estructuración",1,1
579,"centrada, estructuración, proyectos",1,1
580,"estructuración, proyectos, incluida",1,1
581,"proyectos, incluida, búsqueda",1,1
582,"incluida, búsqueda, socios",1,1
583,"búsqueda, socios, incentivos",1,1
584,"socios, incentivos, gubernamentales",1,1
585,"incentivos, gubernamentales, empresa",1,1
586,"gubernamentales, empresa, seguirá",1,1
587,"empresa, seguirá, aumentando",1,1
588,"seguirá, aumentando, presencia",1,1
589,"aumentando, presencia, tecnologías",1,1
590,"presencia, tecnologías, limpias",1,1
591,"tecnologías, limpias, ecopetrol",1,1
592,"limpias, ecopetrol, ampliando",1,1
593,"ecopetrol, ampliando, presencia",1,1
594,"ampliando, presencia, unidos",1,1
595,"presencia, unidos, asia",1,1
596,"unidos, asia, principales",1,1
597,"asia, principales, mercados",1,1
598,"principales, mercados, exportación",1,1
599,"mercados, exportación, abrió",1,1
600,"exportación, abrió, oficina",1,1
601,"abrió, oficina, comercial",1,1
602,"oficina, comercial, materias",1,1
603,"comercial, materias, primas",1,1
604,"materias, primas, singapur",1,1
605,"primas, singapur, proceso",1,1
606,"singapur, proceso, abrir",1,1
607,"proceso, abrir, houston",1,1
608,"martes, mercado, cerró",1,2
609,"mercado, cerró, índice",1,2
610,"cerró, índice, msci",1,2
611,"índice, msci, colcap",1,2
612,"msci, colcap, puntos",1,2
613,"colcap, puntos, significó",1,2
614,"puntos, significó, incremento",1,2
615,"significó, incremento, variación",1,2
616,"incremento, variación, absoluta",1,2
617,"variación, absoluta, porcentual",2,2
618,"absoluta, porcentual, frente",1,2
619,"porcentual, frente, inicio",1,2
620,"frente, inicio, acciones",1,2
621,"inicio, acciones, bancolombia",1,2
622,"acciones, bancolombia, preferencial",1,2
623,"bancolombia, preferencial, lideraron",1,2
624,"preferencial, lideraron, ganancias",1,2
625,"lideraron, ganancias, bolsa",1,2
626,"ganancias, bolsa, valores",1,2
627,"bolsa, valores, colombia",1,2
628,"valores, colombia, renta",1,2
629,"colombia, renta, variable",1,2
630,"renta, variable, negociadas",1,2
631,"variable, negociadas, millones",1,2
632,"negociadas, millones, precio",1,2
633,"millones, precio, cierre",1,2
634,"precio, cierre, acción",1,2
635,"cierre, acción, lugar",1,2
636,"acción, lugar, ubicó",1,2
637,"lugar, ubicó, ecopetrol",1,2
638,"ubicó, ecopetrol, variación",1,2
639,"ecopetrol, variación, porcentual",1,2
640,"variación, porcentual, precio",1,2
641,"porcentual, precio, cierre",1,2
642,"precio, cierre, vendieron",1,2
643,"cierre, vendieron, millones",1,2
644,"vendieron, millones, acciones",1,2
645,"millones, acciones, millones",1,2
646,"acciones, millones, negociada",1,2
647,"millones, negociada, bancolombia",1,2
