,Palabra,Frecuencia,ID_Articulo,Entidad
1060,tales,1,6,0
1061,desincentivo,1,6,0
1062,actividades,1,6,0
1063,productivas,1,6,0
1064,contrato,1,6,0
1065,personal,1,6,0
1066,reglas,1,6,0
1067,enfrento,1,6,0
1068,desconfianza,1,6,0
1069,particular,1,6,0
1070,meto,1,6,0
1071,intervengan,1,6,0
1072,arbitrariamente,1,6,0
1073,insostenibilidad,1,6,0
1074,fiscal,1,6,0
1075,financiación,1,6,0
1076,obligaciones,1,6,0
1077,plazo,2,6,0
1078,ingresos,1,6,0
1079,corto,1,6,0
1080,regalo,1,6,0
1081,dinero,1,6,0
1082,miro,1,6,0
1083,mañana,1,6,0
1084,recientemente,1,7,0
1085,ecopetrol,1,7,0
1086,anunció,1,7,0
1087,contraoferta,3,7,0
1088,oferta,4,7,0
1089,recompra,1,7,0
1090,bono,1,7,0
1091,internacional,1,7,0
1092,anunciado,1,7,0
1093,mediados,1,7,0
1094,precisamente,1,7,0
1095,enero,1,7,0
1096,monto,2,7,0
1097,millones,1,7,0
1098,tasa,1,7,0
1099,cupón,1,7,0
1100,vencimiento,1,7,0
1101,septiembre,1,7,0
1102,mencionada,1,7,0
1103,incluye,1,7,0
1104,prima,1,7,0
1105,anticipada,1,7,0
1106,correspondiente,1,7,0
1107,valor,1,7,0
1108,estaría,1,7,0
1109,sujeta,1,7,0
1110,máximo,1,7,0
1111,tiempo,2,7,0
1112,pagarés,1,7,0
1113,retirados,1,7,0
1114,hora,2,7,0
1115,york,2,7,0
1116,petrolera,2,7,0
1117,vencerá,1,7,0
1118,media,1,7,0
1119,noche,1,7,0
